# a Fx[N] Fy[N] Fz[N] Nx[Nm] Ny[Nm] Nz[Nm]
2.0625 -9.68328e-14 4.02013e-29 1.37797e-13 -5.52843e-36 7.86795e-23 -1.39053e-35
2.063 -9.82696e-14 5.64363e-29 1.41824e-13 -3.86076e-36 8.23273e-23 1.07144e-36
2.0635 -9.97577e-14 3.73472e-29 1.4621e-13 2.01456e-36 8.63093e-23 2.2221e-37
2.064 -1.01302e-13 4.72303e-29 1.50997e-13 2.78118e-36 9.06664e-23 8.20245e-36
2.0645 -1.02909e-13 5.8083e-29 1.56235e-13 -1.576e-36 9.54453e-23 4.28133e-36
2.065 -1.04583e-13 4.73558e-29 1.6198e-13 9.12042e-36 1.007e-22 8.01579e-36
2.0655 -1.06334e-13 6.81421e-29 1.68298e-13 -1.07266e-35 1.06495e-22 3.12256e-36
2.066 -1.08169e-13 4.92764e-29 1.75268e-13 -2.56733e-35 1.12902e-22 4.36053e-36
2.0665 -1.10098e-13 5.21366e-29 1.82978e-13 -5.02788e-36 1.20008e-22 4.82329e-36
2.067 -1.12131e-13 5.08671e-29 1.91535e-13 -2.41836e-35 1.27915e-22 -3.34415e-36
2.0675 -1.14282e-13 5.39559e-29 2.01063e-13 3.14444e-35 1.36742e-22 3.59392e-36
2.068 -1.16565e-13 6.84133e-29 2.1171e-13 1.83049e-35 1.46631e-22 -2.35696e-36
2.0685 -1.18997e-13 6.22736e-29 2.23653e-13 3.59659e-36 1.57753e-22 1.01104e-35
2.069 -1.21596e-13 7.07403e-29 2.37102e-13 2.08176e-35 1.7031e-22 2.81104e-36
2.0695 -1.24386e-13 1.55814e-29 2.52309e-13 1.08019e-35 1.84547e-22 -1.4557e-36
2.07 -1.27393e-13 5.09159e-29 2.69581e-13 4.6519e-36 2.00761e-22 6.80357e-36
2.0705 -1.30646e-13 5.32451e-29 2.89289e-13 -8.39741e-36 2.19313e-22 -4.00255e-36
2.071 -1.3418e-13 7.86363e-29 3.11885e-13 1.44704e-36 2.40645e-22 4.48097e-36
2.0715 -1.38037e-13 5.53778e-29 3.37925e-13 1.53496e-35 2.65299e-22 -1.35946e-36
2.072 -1.42262e-13 8.47531e-29 3.68092e-13 1.99238e-35 2.93945e-22 3.03596e-35
2.0725 -1.46909e-13 8.65096e-29 4.03228e-13 -2.47067e-35 3.27411e-22 1.42779e-35
2.073 -1.52039e-13 3.77461e-29 4.44372e-13 -2.45375e-35 3.66724e-22 -5.54271e-36
2.0735 -1.57716e-13 5.43447e-29 4.92808e-13 6.36967e-36 4.13156e-22 3.60332e-35
2.074 -1.6401e-13 5.19672e-29 5.5011e-13 -1.54084e-35 4.68274e-22 -3.21256e-35
2.0745 -1.70986e-13 9.98303e-29 6.18186e-13 -2.53528e-36 5.33989e-22 -2.90145e-35
2.075 -1.78693e-13 1.04407e-28 6.99296e-13 6.8933e-36 6.12583e-22 -2.71823e-35
2.0755 -1.87144e-13 3.68017e-29 7.96e-13 -3.63596e-35 7.06665e-22 1.40749e-35
2.076 -1.96271e-13 1.02554e-28 9.10957e-13 -5.52692e-35 8.19e-22 -1.52184e-35
2.0765 -2.05863e-13 4.88856e-30 1.04644e-12 -6.84296e-35 9.52036e-22 -1.62812e-35
2.077 -2.15467e-13 -2.01413e-29 1.20329e-12 -2.89209e-35 1.10693e-21 5.5638e-36
2.0775 -2.24264e-13 3.34894e-29 1.37922e-12 -3.22659e-35 1.28183e-21 -7.62547e-36
2.078 -2.30966e-13 8.45237e-29 1.56616e-12 -2.47132e-35 1.46929e-21 1.46009e-35
2.0785 -2.33843e-13 1.0298e-30 1.74775e-12 -1.86183e-36 1.65364e-21 -2.94168e-35
2.079 -2.31074e-13 -1.23983e-28 1.89891e-12 1.05773e-35 1.81036e-21 -1.41428e-35
2.0795 -2.21478e-13 -4.94279e-29 1.99093e-12 -1.10404e-35 1.91081e-21 5.18789e-35
